"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"58",219,4706,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,1047,0.1
"59",220,6329,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,1408,0.1
"60",221,4342,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,966,0
"61",222,3884,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,864,0
"62",223,2280,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,507,0
"63",224,1931,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,429,0
"64",225,672,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,149,0
"65",226,749,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,167,0
"66",227,54,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,12,0
"67",228,98,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,22,0
"68",229,15,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,3,0
"69",230,1,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,0,0
"70",301,3028,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,673,0
"71",302,4814,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,1071,0.1
"72",303,142506,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,31693,1.6
"73",304,242,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,54,0
"74",305,1739,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,387,0
"75",306,10322,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,2296,0.1
"76",307,33033,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,7346,0.4
"77",308,59407,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,13212,0.6
"78",309,49327,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,10970,0.5
"79",310,78476,"Herb Height >= 1 meter",255,51,0,1,0.2,0,17453,0.9
